ancestralTime	evaluationTime	mean_time	introductionLineagesAtEval_lower	introductionLineagesAtEval_upper	introductionLineagesAtEval_median
2021.7452054794521	2021.8301369863013	2021.7876712328766	1.0	1.0	1.0
2021.8301369863013	2021.9123287671232	2021.8712328767124	1.0	4.0	2.0
2021.9123287671232	2021.9972602739726	2021.954794520548	15.0	56.0	28.0
2021.9972602739726	2022.0821917808219	2022.0397260273971	1.0	15.0	6.0
2022.0821917808219	2022.158904109589	2022.1205479452055	0.0	1.0	0.0
2022.158904109589	2022.2438356164384	2022.2013698630137	0.0	1.0	0.0
2022.2438356164384	2022.3260273972603	2022.2849315068493	0.0	1.0	0.0
