ancestralTime	evaluationTime	mean_time	propPersistentFromUnique_lower	propPersistentFromUnique_upper	propPersistentFromUnique_median	persistentsFromUnique_lower	persistentsFromUnique_upper	persistentsFromUnique_median	introductionsFromUnique_lower	introductionsFromUnique_upper	introductionsFromUnique_median
2021.7452054794521	2021.8301369863013	2021.7876712328766	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
2021.8301369863013	2021.9123287671232	2021.8712328767124	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0
2021.9123287671232	2021.9972602739726	2021.954794520548	0.0	0.4	0.14285714285714285	0.0	3.0	1.0	3.0	12.0	7.0
2021.9972602739726	2022.0821917808219	2022.0397260273971	0.6	0.95	0.7647058823529411	10.0	20.0	16.0	1.0	9.0	5.0
2022.0821917808219	2022.158904109589	2022.1205479452055	0.75	1.0	1.0	1.0	8.0	4.0	0.0	1.0	0.0
2022.158904109589	2022.2438356164384	2022.2013698630137	0.0	1.0	1.0	0.0	3.0	1.0	0.0	1.0	0.0
2022.2438356164384	2022.3260273972603	2022.2849315068493	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
