ancestralTime	evaluationTime	mean_time	propPersistentFromUnique_lower	propPersistentFromUnique_upper	propPersistentFromUnique_median	persistentsFromUnique_lower	persistentsFromUnique_upper	persistentsFromUnique_median	introductionsFromUnique_lower	introductionsFromUnique_upper	introductionsFromUnique_median
2021.8301369863013	2021.9123287671232	2021.8712328767124	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0
2021.9123287671232	2021.9972602739726	2021.954794520548	0.0	0.4	0.14285714285714285	0.0	3.0	1.0	3.0	12.0	7.0
2021.9972602739726	2022.0821917808219	2022.0397260273971	0.6086956521739131	0.9523809523809523	0.7727272727272727	11.0	21.0	16.0	1.0	9.0	5.0
2022.0821917808219	2022.158904109589	2022.1205479452055	0.7142857142857143	1.0	1.0	1.0	8.0	4.0	0.0	1.0	0.0
2022.158904109589	2022.2438356164384	2022.2013698630137	0.3333333333333333	1.0	1.0	0.0	3.0	1.0	0.0	1.0	0.0
2022.2438356164384	2022.3260273972603	2022.2849315068493	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
