# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Oct 16 23:30:34 GMT 2024 [seed=1123580]
# -beagle_GPU -beagle_order 1 -seed 1123580 -save_every 10000000 -save_stem combined_seqs_renamed_clear_6merpair_keep_len_masked_trimmed_manual_clear_without_wu1_renamed_clear_manual_clear_split_skygrid_26.xml_run0 combined_seqs_renamed_clear_6merpair_keep_len_masked_trimmed_manual_clear_without_wu1_renamed_clear_manual_clear_split_skygrid_26.xml
# keywords: skygrid
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
100000	-103107.16763444908	-5725.959316391572	-97381.20831805751	1.397054812024182	2020.6851369687977	354.67797025061674	1.4079661411351148	4.5500279141192035	3.848130883968826	5.255764803747534	5.356013082028707	5.278126165646295	4.529744491854489	5.537435127363144	5.423426582642092	6.0439692933708775	5.839358832738512	4.99103438453587	5.134266611033187	5.592590599291718	5.078247791113756	4.175792570521635	4.343741224903454	3.6607274909836685	3.9385569312672444	3.093522462714302	3.7733392176444536	3.42380695038245	2.371207655988045	2.8377374733371776	2.7940174033204697	1.573369978552413	0.06998261420498507	1.0	4.727186056136262	0.2669917953016789	0.18053721254951918	0.18298160022890492	0.3694893919198971	0.1792196833154592	8.057946295796379E-4	8.057946295796346E-4	-97381.20831805751	0.0	-5245.336632916124
110000	-103081.77849773993	-5606.586664722304	-97475.19183301763	1.4104939624121768	2020.6716978184097	352.974957383442	3.13905738875608	4.332795158166385	4.7960432828980775	4.968388252491337	5.236577325185526	5.721928282726487	5.088279675775565	5.256867773407055	5.159906613880616	5.960224809537907	6.062826402589772	5.316601915421475	4.9563876887018425	5.32788598887393	4.898374866117615	4.247817048399482	4.450585019816873	3.759722348127285	3.8147511917868697	3.039868178003237	3.224312521999117	3.509775534619198	2.403081359268862	2.6800517693780974	2.532234524025771	1.879655061199564	0.18509845499825417	1.0	4.460727796516144	0.2699002950512952	0.18003512820945847	0.17956882786155048	0.37049574887769593	0.16912725935934114	8.46503599636691E-4	8.465035996366969E-4	-97475.19183301763	0.0	-5219.659941670087
120000	-103063.51307013356	-5638.194930290479	-97425.31813984308	1.4744542060893768	2020.6077375747325	350.8369389700575	2.030557663139702	4.39580756335285	3.8550406157408927	4.271454009950586	3.997625353664988	5.045568657871314	6.118177122172908	4.931478343620411	5.706760077480527	6.497103058605126	6.014915455693399	5.111913751297446	4.9671052506225735	5.032608596708429	4.691430473050217	4.145154089803504	4.065939219167906	3.70953318303637	3.7842117149965917	2.789431876602837	3.6206120122824403	3.3058457820248672	2.132701081089088	3.0587949750353265	2.9926657461675394	1.8791894003799783	-0.2684994767426431	1.0	4.5113837894197415	0.2679106123046875	0.18171740931343217	0.18298214846480598	0.36738982991707453	0.18227201290282308	8.33103743529637E-4	8.331037435296422E-4	-97425.31813984308	0.0	-5222.224395255179
130000	-103094.7735554537	-5646.66800425137	-97448.10555120233	1.3766844661363835	2020.7055073146855	348.05545403156066	2.385149103709542	5.888788306412605	5.681311660332515	5.31211434567832	5.752241636836759	5.010205023198687	4.9313193118597525	5.338938508262899	5.02540059866321	6.007083284831181	6.462306767944883	5.174218318095028	5.137600596439126	5.151716981482825	4.533241443634703	4.202201641633251	4.118649164885027	3.872026251148851	3.773456331074396	2.9983133497188423	3.3653988856517376	3.1287525027241108	2.666800007529948	2.9581362163292124	2.5864979858591215	1.3053651671589346	-0.09906820593549888	1.0	4.569686973269607	0.2695111885941747	0.18340099677251798	0.18132793577532272	0.36575987885798467	0.17789560197898244	8.371398725137614E-4	8.371398725137656E-4	-97448.10555120233	0.0	-5239.55833669702
140000	-103088.61489414847	-5636.695745288482	-97451.91914885999	1.3510644823648434	2020.731127298457	344.0865226212254	3.3755043584619195	4.858785926141328	3.8473850413627906	5.372473214142102	5.83937984220266	6.145155843084766	5.8644552777401024	5.237826031742099	5.014235249488391	5.688984718938355	5.556100804262613	5.466161707563083	5.295117885993613	5.171663162929358	4.760499739153873	4.162910947187458	4.088655892129797	3.7654518743380634	3.3665369217954306	3.2352311693036024	3.126704458411395	2.800767608642562	2.4618233878304423	2.9105696328887016	2.213936083700705	1.7217845430436078	0.1943251037080467	1.0	4.7166076212678565	0.27007328706906475	0.17797472970988013	0.18413903320170555	0.36781295001934966	0.17239835137140627	8.45979153937905E-4	8.459791539379042E-4	-97451.91914885999	0.0	-5248.491925052342
150000	-103043.93210939266	-5570.488454473406	-97473.44365491925	1.4358611429127208	2020.6463306379092	342.042983257737	2.2608983563237217	5.9900502653520205	5.184960861457052	5.08066496230389	5.971383196085221	5.629686528042955	4.964534349341697	5.270424112276157	5.148488143958746	6.369273170748783	5.719700137546065	5.35822678657546	5.422672250781004	5.0814205838683835	4.529112739682297	4.0756907218673275	4.103350972220527	3.9283798410201323	3.3675547403548323	3.1510731841251696	2.8495626500790974	2.5994317316005966	2.7167013224148113	2.810043597128145	2.421890052381262	1.3556301506127764	-0.17547062819192952	1.0	4.570626049727487	0.2748722045304937	0.18201002911773467	0.17968814870493005	0.3634296176468417	0.18079458403820783	8.647401217673722E-4	8.647401217673693E-4	-97473.44365491925	0.0	-5221.481269062443
160000	-103006.06914035974	-5560.863967514614	-97445.20517284513	1.5276088467542825	2020.5545829340676	339.91683181269593	2.1337509856225374	3.1700988982141407	3.826931203690399	3.960761366613723	5.278563588400092	5.739111941030393	5.078291004809015	5.301948752024397	5.32587079049649	5.554397142802513	5.407188968136039	5.548576368278214	4.831936581031104	4.725818682119044	4.514892996756538	4.0664841162548315	4.459631201714389	3.9518255069097163	3.2969301676466714	2.992967225148707	3.2768618994022987	2.6726797099796977	2.875057340642851	2.9397447848338754	2.494621758935594	1.5538047301802613	0.038431229839729575	1.0	4.643471530391944	0.270920757548724	0.18048064986349344	0.17968002040122627	0.36891857218655627	0.18187210207819568	8.580554440072919E-4	8.580554440072901E-4	-97445.20517284513	0.0	-5198.4071798483055
170000	-102992.22024829312	-5538.9784794195975	-97453.24176887351	1.4655206362444302	2020.6166711445774	335.6130448294031	2.5372356780175562	4.801351548799386	5.034413204514762	4.466736612851414	5.143708450408689	5.443053773020407	4.811959303327219	5.328242898444913	5.3915806705216305	6.288844924179882	5.4660813648857385	5.502959603018993	4.905790214830235	5.325378142932622	4.315371633850092	4.087320537046502	4.146285770529273	3.8305522399922487	3.161611694533964	3.219963499383571	3.0549825537579527	2.5159903581530885	2.5412853758161003	2.8713730222438536	2.176093993549988	1.383769646065084	-0.2650479126560759	1.0	4.700308241375552	0.27243375446417223	0.1771490315214792	0.18165864752458621	0.3687585664897622	0.16595752768888963	8.565209455131823E-4	8.565209455131819E-4	-97453.24176887351	0.0	-5173.21740401815
180000	-102938.85877893845	-5503.059107282704	-97435.79967165574	1.387553533138484	2020.6946382476833	331.00569786366617	2.335515320852759	4.114703916846824	4.798888277808872	4.7714942157288345	5.683436589013213	5.7135709775633625	4.813927765291037	4.8123315053966085	5.191260889020105	5.617397487277217	5.0137710598545135	5.1952015966434315	4.9306413829576865	5.106131540022191	4.2575128616153055	4.102160847295584	4.277967081919748	3.776377271865681	3.1140573064318526	3.051333444797235	2.9718328327919976	2.4871492265507547	2.445388653643437	2.4095269458166397	2.143931998755848	1.1849147544140406	-0.2939754283457313	1.0	4.53356144171356	0.26773678984307897	0.18087897125610952	0.18299924804118622	0.3683849908596252	0.18251030318563494	8.666607143480304E-4	8.666607143480311E-4	-97435.79967165574	0.0	-5157.834955750743
190000	-102913.82492277645	-5498.639839066759	-97415.18508370969	1.3109459601618376	2020.77124582066	328.55969053585545	3.7843294255408138	4.9841119331448205	4.655495460202555	5.671779258637179	5.52236823868021	5.631719951844747	5.517189364936765	5.4187018461571075	5.0761871876388724	5.358421472320087	5.127260102814416	5.360923733639688	5.036444129751283	5.149112302008131	4.292877374152247	4.1426962930882665	4.077322053464452	3.617938223001492	3.08613595486187	3.164055663350584	2.699465614500704	2.6585975893411344	2.681253883671195	2.583320194436959	2.137171304699292	1.4545372021197878	-0.4839294803571099	1.0	4.584522391261536	0.2726376246456223	0.17902304678401013	0.18502079519181508	0.3633185333785524	0.17123057315594392	8.603519114794276E-4	8.603519114794306E-4	-97415.18508370969	0.0	-5140.320314787738
